Chidamber-Kemerer metrics,Sun, 4 Dec 2022 00:22:17 WET
Class,CBO,DIT,LCOM,NOC,RFC,WMC
net.sourceforge.ganttproject.TreeTableContainer.ExpandAllAction,2,3,1,0,7,3
net.sourceforge.ganttproject.TreeTableContainer.ExpandCollapseAction,2,3,1,0,9,4
net.sourceforge.ganttproject.TreeUtil,11,1,7,0,29,26
net.sourceforge.ganttproject.UIFacadeImpl,41,2,20,0,194,109
net.sourceforge.ganttproject.UIFacadeImpl.LafOption,5,3,5,0,20,8
net.sourceforge.ganttproject.action.ActionDelegate,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.ActionStateChangedListener,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.ActiveActionProvider,n/a,n/a,n/a,n/a,1,n/a
net.sourceforge.ganttproject.action.ArtefactAction,9,3,1,3,22,13
net.sourceforge.ganttproject.action.ArtefactDeleteAction,5,4,0,0,2,1
net.sourceforge.ganttproject.action.ArtefactNewAction,4,4,0,0,2,1
net.sourceforge.ganttproject.action.ArtefactPropertiesAction,4,4,0,0,2,1
net.sourceforge.ganttproject.action.BaselineDialogAction,12,3,1,0,28,16
net.sourceforge.ganttproject.action.CalculateCriticalPathAction,5,3,1,0,13,10
net.sourceforge.ganttproject.action.CancelAction,17,3,1,9,4,3
net.sourceforge.ganttproject.action.GPAction,104,2,6,87,73,65
net.sourceforge.ganttproject.action.GPAction.IconSize,19,n/a,3,n/a,4,2
net.sourceforge.ganttproject.action.OkAction,10,3,1,16,5,4
net.sourceforge.ganttproject.action.ShowBurndownAction,4,3,1,0,5,2
net.sourceforge.ganttproject.action.ShowChannelAction,6,3,1,0,20,10
net.sourceforge.ganttproject.action.ViewToggleAction,5,3,2,0,9,5
net.sourceforge.ganttproject.action.edit.CopyAction,5,3,1,0,12,6
