Complexity metrics,Sun, 4 Dec 2022 04:19:03 WET
Method,CogC,ev(G),iv(G),v(G)
biz.ganttproject.core.chart.canvas.FontChooser.getMarginTop(String),1,2,1,2
biz.ganttproject.core.chart.canvas.FontChooser.getTextHeight(String),1,2,1,2
biz.ganttproject.core.chart.canvas.FontChooserTest.setUp(),0,1,1,1
biz.ganttproject.core.chart.canvas.FontChooserTest.testBaseFontAbsoluteValue(),0,1,1,1
biz.ganttproject.core.chart.canvas.FontChooserTest.testBaseFontIncrement(),0,1,1,1
biz.ganttproject.core.chart.canvas.FontChooserTest.testCustomFamilyAbsolute(),0,1,1,1
biz.ganttproject.core.chart.canvas.FontChooserTest.testCustomFamilyIncrement(),0,1,1,1
biz.ganttproject.core.chart.canvas.FontChooserTest.testCustomFontSpec(),0,1,1,1
biz.ganttproject.core.chart.canvas.FontChooserTest.testNoFontStyle(),0,1,1,1
"biz.ganttproject.core.chart.grid.Offset.Offset(TimeUnit, Date, Date, Date, int, int, int)",0,1,1,1
"biz.ganttproject.core.chart.grid.Offset.createFullyClosed(TimeUnit, Date, Date, Date, int, int, int)",0,1,1,1
biz.ganttproject.core.chart.grid.Offset.debugPrint(List<Offset>),1,1,2,2
biz.ganttproject.core.chart.grid.Offset.equals(Object),2,2,3,4
biz.ganttproject.core.chart.grid.Offset.getDayMask(),0,1,1,1
biz.ganttproject.core.chart.grid.Offset.getOffsetAnchor(),0,1,1,1
biz.ganttproject.core.chart.grid.Offset.getOffsetEnd(),0,1,1,1
biz.ganttproject.core.chart.grid.Offset.getOffsetPixels(),0,1,1,1
biz.ganttproject.core.chart.grid.Offset.getOffsetStart(),0,1,1,1
biz.ganttproject.core.chart.grid.Offset.getOffsetUnit(),0,1,1,1
biz.ganttproject.core.chart.grid.Offset.getStartPixels(),0,1,1,1
biz.ganttproject.core.chart.grid.Offset.hashCode(),0,1,1,1
biz.ganttproject.core.chart.grid.Offset.shift(int),0,1,1,1
biz.ganttproject.core.chart.grid.Offset.toString(),0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.Factory(),0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.preBuild(),1,1,2,2
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.withAtomicUnitWidth(int),0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.withBottomUnit(TimeUnit),0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.withCalendar(GPCalendar),0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.withEndDate(Date),0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.withEndOffset(int),0,1,1,1
"biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.withOffsetStepFunction(Function<TimeUnit, Float>)",0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.withRightMargin(int),0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.withStartDate(Date),0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.withTopUnit(TimeUnit),0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.withViewportStartDate(Date),0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilder.Factory.withWeekendDecreaseFactor(float),0,1,1,1
biz.ganttproject.core.chart.grid.OffsetBuilderImpl.FactoryImpl.build(),0,1,1,1
